가맹점코드,가맹점명,사업자등록번호,지류취급여부,전자취급여부,모바일취급여부,한도금액
69011100334,제이디,6163014820,Y,Y,Y,3100000
68010200785,혁이네분식,6101409464,Y,N,N,3100000
25210400004,다이소,2230445379,Y,Y,Y,3100000
70011100059,미소아,5041880802,Y,Y,Y,3100000
70010601095,비비안나,5203601098,Y,N,N,3100000
43110500317,내추럴바디짐,3351101444,Y,Y,Y,3100000
60110600040,메종그랑데,8135600330,Y,Y,Y,3100000
13810200027,가가열쇠공사,2151581176,Y,Y,Y,3100000
78010301002,수선종합식품,5059063253,Y,Y,Y,3100000
38010700577,유선상사충주판매장,3571800240,Y,Y,Y,3100000
25210200016,석봉토스트인제현리점,2230231129,Y,Y,N,3100000
40510713834,무지개수산,8909001645,Y,Y,Y,3100000
56010200031,서울침구,4020463136,Y,Y,Y,3100000
60410800094,하단반찬백화점본점,2054657519,Y,Y,N,3100000
64211200019,바다생선,6099194701,Y,Y,Y,3100000
42510800007,얹어냉면손칼국수,2921000030,Y,N,N,3100000
1074200002,창동할머니토스트,6560402487,Y,Y,Y,3100000
25210200017,세븐일레븐인제기린점,2230247257,Y,Y,Y,3100000
15011800145,신진유통,3989100531,Y,N,N,95000000
61410100095,다모아,6051821713,Y,Y,Y,3100000
42910600010,도일상회,1409080851,Y,Y,Y,3100000
76010300086,키즈스토리,5080754805,Y,Y,Y,3100000
60110100267,우봉상회,6043327788,Y,Y,N,3100000
73010500232,김가네북족발왕족발,6780400970,Y,N,N,3100000
68110800300,오리돼지요,3471302663,Y,Y,Y,3100000
31410100534,착한짬뽕,5510802031,Y,N,N,3100000
13110600080,면목과일,5119560372,Y,Y,Y,3100000
44510400513,주면야주,2662300822,Y,N,N,3100000
71810600138,대성식품,5139141446,Y,Y,Y,3100000
20010500070,새옷과 구제,5420201415,Y,N,N,3100000
32010200337,와방,4331100512,Y,Y,Y,3100000
2039200013,도란도란공방,2647500408,Y,Y,Y,3100000
42310100511,진영식품,8359000504,Y,Y,Y,3100000
70311200068,서문도매마트,5032545436,Y,Y,N,3100000
13011700536,삼정청과,2139898558,Y,Y,Y,3100000
40310512600,그래잇,7285400417,Y,Y,Y,3100000
15063200015,오성참기름,3421400819,Y,Y,Y,3100000
69011000172,㈜씨티어브드림즈 제주2호점,7268501544,Y,N,N,3100000
39010400054,장터식당,6121779142,Y,Y,Y,3100000
41310200176,송희네,3490801477,Y,Y,Y,3100000
44110300027,㈜지엔지,2118626282,Y,Y,Y,3100000
33610300628,아일로 온양점,3940102462,Y,N,N,3100000
70610300135,이모분식,1074182951,Y,Y,Y,3100000
37310100029,은영상회,3020535109,Y,Y,Y,3100000
60110100737,모아,6052034263,Y,N,N,3100000
42610600214,안산컴퓨터출장수리,1340581752,Y,Y,Y,3100000
32510100233,천방산야채,3139069003,Y,Y,Y,3100000
64110700061,쌍방울,2841101694,Y,Y,Y,3100000
60610200281,원이채소,1559301373,Y,Y,Y,5000000
54810100126,의류백화점,3140219872,Y,Y,Y,3100000
36010500583,열두광주리,3170399571,Y,Y,Y,7000000
70010900500,동보콜렉션,5010153424,Y,Y,Y,5000000
13310500371,만물상회,2069115545,Y,N,N,3100000
9039200010,천기초조은웰빙,2250654295,Y,Y,Y,3100000
55010200126,교동연쇄점,1561200776,Y,Y,Y,5000000
68111000219,현대상회,6209057161,Y,Y,Y,10000000
30110700065,브레이크,3050257213,Y,Y,Y,3100000
1027200002,별주부전,5471101391,Y,Y,Y,3100000
64110500355,도도,7880600965,Y,Y,Y,3100000
4014200003,주식회사 애프터유,1678101621,Y,Y,Y,3100000
54011800032,홍지수산,6989900169,Y,Y,Y,3100000
75510100136,일호상회,2270293767,Y,Y,Y,3100000
1440200012,항아리,5381901879,Y,Y,Y,3100000
70310100692,조흥상회,5043049671,Y,Y,N,3100000
36110100112,듬뿍,1165800233,Y,N,N,3100000
60810100128,대연문구사,6170859528,Y,Y,Y,3100000
70412400079,합천한우명가,5149152285,Y,Y,Y,3100000
16051200017,샤인브로우,5411401827,Y,Y,Y,3100000
44510200006,청원유통,1244022553,Y,Y,Y,3100000
30610300212,소담,2911801425,Y,N,N,3100000
50012000008,스텔라,2057043140,Y,N,N,3100000
65010300245,부산상회,6120561353,Y,Y,Y,3100000
13910100125,장수마을,7160400331,Y,N,N,3100000
61411700013,전포건강원,6052336618,Y,Y,N,5000000
